,ophys_session_id,was_analyzed,n_cells_total,n_cells_analyzed,n_saccades,n_saccades_nasal,n_saccades_temporal
63,570472763,True,82,61,54,34,15
64,574415929,True,9,9,421,253,157
65,688580172,True,17,17,542,323,219
66,571494829,True,45,45,336,148,137
67,574824922,True,142,118,70,16,38
68,601273921,True,12,12,275,68,203
69,713568018,True,7,7,165,81,64
70,656939127,True,228,228,122,61,59
71,591563201,True,6,6,861,479,377
72,602574260,True,11,11,724,339,375
73,679697901,True,18,18,139,62,77
74,651770186,True,214,214,143,75,67
75,662348706,True,115,95,78,20,51
76,658024291,True,15,15,654,338,316
77,654920038,True,309,309,275,204,71
78,647155122,True,211,211,338,168,168
79,613074493,True,49,49,294,166,123
80,606873744,True,48,48,129,37,64
81,636930038,True,54,54,215,119,86
82,557956194,True,166,124,68,10,50
83,652737678,True,94,94,628,410,213
84,675478137,True,75,75,692,184,499
85,681673022,True,267,267,127,60,59
86,603452291,True,19,19,223,99,122
87,539540432,False,87,0,0,0,0
88,575890352,False,188,0,10,4,5
89,639117826,True,97,97,49,27,21
90,657082055,True,261,261,476,219,254
91,645695159,True,88,88,307,138,150
92,554014020,True,89,89,148,71,58
93,555813683,True,25,25,37,20,16
94,550127307,False,100,0,18,3,13
95,692345003,True,7,7,472,259,210
96,575135986,True,160,120,8,2,5
97,653053920,True,263,263,72,39,33
98,531342486,True,92,92,266,110,133
99,593438037,True,324,324,227,168,51
100,555257822,True,36,36,208,89,105
101,667364442,False,,,,,
102,551657972,True,108,63,65,9,50
103,681674286,True,343,224,454,445,7
104,638056634,True,155,155,631,394,237
105,580895806,True,10,10,138,43,79
106,657649672,True,235,235,295,200,87
107,574529965,True,139,139,53,19,19
108,657785850,True,39,39,301,191,108
109,673171110,True,14,14,392,223,169
110,580631157,True,17,17,324,156,112
111,685494041,True,295,295,310,209,86
112,710504563,True,17,17,176,54,112
113,682732631,True,32,32,63,21,34
114,526768996,True,172,155,29,13,12
115,570305847,True,181,181,392,244,136
116,674678616,True,97,97,142,51,83
117,627823636,True,14,14,160,76,71
118,606227591,True,41,41,218,80,133
119,603226974,True,4,4,299,206,91
120,529693740,False,,,,,
121,528480613,True,184,184,263,157,88
122,665307545,True,78,78,204,67,127
123,566307038,False,239,0,139,109,17
124,657223595,True,11,11,226,86,134
125,579968437,True,12,12,64,34,26
126,614561354,True,36,36,139,70,66
127,598635821,True,14,14,202,63,127
128,652990651,True,23,23,251,85,162
129,510706209,True,49,40,13,11,0
130,657016267,True,139,139,667,394,271
131,670398566,True,16,16,289,186,100
132,506520703,True,176,176,273,161,102
133,547573479,False,109,0,2,0,2
134,686919436,True,18,18,618,337,281
135,605683787,True,155,155,575,285,287
136,557182484,True,60,60,156,52,99
137,689402014,True,15,15,624,396,228
138,510699005,False,116,0,0,0,0
139,540684467,False,290,0,0,0,0
140,636924826,True,146,146,253,152,97
141,501788003,True,215,215,101,55,45
142,525368285,True,271,192,18,3,10
143,556919719,True,18,18,961,527,423
144,680156911,True,337,337,199,135,58
145,666274171,True,39,39,324,160,159
146,672675348,True,10,10,225,116,105
147,601812180,True,10,10,668,358,308
148,567446262,True,78,40,5,3,2
149,712923993,True,11,11,221,93,126
150,638262558,True,5,5,122,37,82
151,662358771,True,56,56,117,31,69
152,510345479,True,331,331,52,23,25
153,643066628,False,,,,,
154,562052595,True,152,78,34,10,19
155,594314285,True,71,71,152,35,112
156,510535700,True,57,57,66,21,41
157,569818138,False,153,0,14,8,6
158,541048140,False,283,0,0,0,0
159,623347352,True,52,52,443,219,217
160,665726259,True,76,76,337,180,154
161,510705057,True,242,242,162,100,57
162,657079190,True,11,11,719,368,351
163,646685143,True,65,65,128,34,89
164,639117180,True,5,5,125,37,83
165,604145810,True,48,48,499,245,242
166,539515366,False,232,0,0,0,0
167,510712856,False,53,0,16,10,5
168,638754323,True,87,87,383,222,156
169,508220632,True,116,116,89,30,46
170,603185265,True,11,11,237,140,90
171,667376208,True,117,117,145,48,95
172,710778377,True,10,10,454,234,218
173,557345665,True,24,24,596,363,224
174,552760671,True,150,150,87,34,45
175,574989957,True,201,201,143,79,59
176,601887677,True,40,40,76,32,35
177,552427971,True,121,106,4,2,2
178,571642389,False,220,0,17,1,9
179,644910997,True,67,67,755,421,334
180,563500510,False,102,0,0,0,0
181,565698388,False,4,0,0,0,0
182,657391625,True,275,275,979,536,442
183,510517131,True,266,266,288,144,127
184,653173685,True,252,223,53,13,30
185,682734376,True,70,70,109,46,59
186,672674656,True,24,24,456,256,197
187,649938123,True,14,14,279,121,156
188,583149151,True,14,14,206,123,69
189,599586915,True,28,19,87,15,61
190,558387203,True,73,73,274,98,171
191,601328878,True,178,178,93,30,44
192,646017558,True,60,60,458,222,236
193,653332425,True,128,98,49,13,18
194,644909644,True,110,110,257,89,163
195,671162646,True,114,114,157,35,75
196,663876406,True,68,42,52,28,15
197,511458874,False,68,0,5,0,2
198,580878455,True,194,194,54,33,17
199,658020352,True,7,7,413,207,205
200,613982017,True,111,111,396,253,142
201,595718342,True,21,21,410,248,156
202,653125130,True,224,224,396,172,221
203,690004696,True,159,159,165,89,73
204,653054766,True,68,68,1094,723,370
205,650512363,True,184,146,78,16,53
206,611658482,True,105,105,387,213,172
207,557626633,True,36,36,537,332,198
208,674276329,True,8,8,187,115,71
209,660066712,True,143,143,53,21,22
210,657470856,True,59,59,60,28,26
211,502810282,False,287,0,2,2,0
212,601789309,True,8,7,72,20,37
213,510021399,False,38,0,0,0,0
214,652842572,True,244,244,105,29,61
215,689388034,True,147,147,148,96,50
216,557848210,True,193,193,128,47,69
217,653331744,True,35,35,88,42,44
218,617047316,True,15,15,148,62,82
219,558670888,True,168,168,75,31,42
220,661773710,True,84,84,118,44,69
221,539497234,True,83,58,7,4,3
222,563027941,True,100,100,156,80,71
223,674275260,True,84,84,177,75,98
224,576261945,True,45,45,121,64,43
225,659772816,True,38,38,655,337,317
226,538803517,False,44,0,7,4,3
227,588191926,True,29,29,132,31,99
228,582918858,True,17,17,177,96,76
229,505801925,True,99,99,153,55,71
230,612549085,True,16,16,510,174,333
231,501836392,False,,,,,
232,596769570,True,88,88,99,41,57
233,503412730,True,119,119,166,73,85
234,601910964,True,11,11,710,372,336
235,659495103,False,,,,,
236,575232864,True,287,287,207,90,84
237,637669284,True,82,82,90,46,42
238,643062797,True,11,11,87,64,19
239,546377461,True,156,140,58,17,28
240,511534603,True,213,115,75,5,35
241,539290504,False,45,0,1,0,0
242,702934964,True,140,140,552,323,221
243,507691566,True,88,88,752,307,344
244,644949526,True,57,57,328,154,174
245,576373003,True,12,12,718,316,340
246,503538804,True,201,201,209,116,88
247,584235345,True,7,4,34,10,20
248,670396194,True,70,70,363,142,200
249,639252109,True,4,4,110,24,80
250,540609585,True,64,44,30,15,14
251,549483412,False,162,0,42,23,13
252,613083872,True,13,13,239,65,172
253,557395543,True,20,12,46,23,21
254,530645663,True,109,78,35,10,20
255,526928092,False,149,0,0,0,0
256,526504941,False,167,0,0,0,0
257,531348161,False,,,,,
258,664404274,True,136,136,394,136,254
259,710502981,True,213,213,216,123,80
260,657469564,True,68,68,101,66,34
261,569792817,True,53,53,105,48,49
262,580043440,True,10,10,244,106,107
263,662351164,True,82,82,111,30,80
264,679346829,True,22,22,485,223,259
265,573720508,True,10,10,235,97,119
266,675070721,True,6,6,329,188,137
267,558560971,True,25,22,48,28,19
268,599909878,True,11,11,159,56,97
269,674679019,True,80,80,258,68,140
270,603188560,True,10,10,329,140,178
271,562003583,True,322,178,53,16,32
272,645256361,True,137,137,124,49,69
273,508753256,True,130,130,71,27,31
274,583301416,True,61,61,113,52,48
275,510536059,False,56,0,0,0,0
276,689402473,True,29,29,414,201,212
277,557414237,True,4,4,361,203,143
278,509799475,True,257,150,46,10,17
279,595452192,True,215,215,146,34,97
280,581356515,True,10,10,185,50,69
281,644660705,True,122,122,377,147,216
282,550374428,False,77,0,40,11,29
283,556936293,True,154,154,133,92,41
284,555327035,True,31,31,67,27,30
285,575939366,True,5,5,539,320,174
286,569252439,True,134,134,246,73,162
287,603195918,True,36,36,106,48,52
288,584635095,True,10,10,779,400,345
289,710938330,True,219,219,280,170,88
290,588497080,True,140,140,313,200,108
291,609239161,True,14,14,557,311,244
292,573850303,True,28,28,202,130,48
293,675062364,True,10,10,654,334,308
294,601790881,True,41,41,79,24,35
295,613062525,True,33,33,144,54,72
296,510514430,True,80,80,373,192,175
297,577313742,True,272,272,142,79,60
298,657009581,True,8,8,552,309,241
299,512164988,False,286,0,26,15,8
300,663873076,True,120,120,447,174,266
301,561405713,True,85,39,47,24,15
302,512145745,True,58,31,37,23,3
303,556936622,True,13,13,253,89,127
304,636891528,True,13,13,30,10,8
305,674679940,True,8,8,275,178,97
306,506456537,True,86,86,240,107,111
307,653053207,True,190,163,57,17,37
308,558581038,True,62,62,90,28,52
309,601886540,False,,,,,
310,617429820,True,47,47,276,131,137
311,545578997,False,118,0,26,2,1
312,642877968,True,110,110,545,226,312
313,648379675,True,12,12,1043,564,479
314,665305913,True,55,37,35,12,20
315,580013262,True,235,235,166,82,78
316,661771052,True,7,7,301,84,206
317,666274157,True,59,59,322,139,176
318,657390171,True,9,9,159,35,108
319,662107986,True,147,147,155,54,101
320,656381309,True,252,252,305,167,138
321,598582651,True,7,7,194,52,113
322,528693630,False,197,0,0,0,0
323,512326618,False,240,0,5,2,2
324,576273468,True,15,15,104,39,61
325,698768912,True,29,29,220,109,109
326,592494159,True,65,47,96,17,71
327,663868423,True,9,9,508,224,283
328,653175011,True,93,93,298,164,133
329,571006351,True,31,16,19,14,5
330,512270518,True,90,67,74,21,44
331,587344053,True,237,237,509,286,207
332,592655327,True,18,18,191,61,122
333,672220620,True,18,18,411,236,170
334,617079480,True,41,41,79,38,38
335,671618887,True,16,16,271,165,106
336,652096183,True,120,120,296,137,158
337,524848692,True,249,228,56,32,21
338,510532780,True,102,72,21,8,8
339,573864650,True,140,140,80,37,30
340,644911034,False,,,,,
341,696156783,True,17,17,321,155,165
342,712178483,True,6,6,200,74,105
343,569457271,True,117,117,91,28,27
344,574751273,True,9,9,184,125,48
345,575970700,False,168,0,23,3,12
346,670721589,True,126,126,187,45,99
347,639254728,True,83,75,78,66,12
348,647143225,True,72,72,351,189,142
349,657469734,True,262,262,548,286,260
350,707006626,True,35,35,1181,796,382
351,646959390,True,36,36,63,28,32
352,686910134,True,31,31,100,48,43
353,569981240,True,68,68,221,107,92
354,668528146,True,26,26,522,304,217
355,591537010,True,19,19,291,136,134
356,552318211,True,38,38,107,46,59
357,643645390,True,127,127,383,140,224
358,663485329,True,107,107,66,23,27
359,647598519,True,18,18,930,531,398
360,505845219,True,232,232,908,526,364
361,661328570,True,98,93,49,12,32
362,553233689,True,132,75,10,5,4
363,571103671,True,83,83,55,29,21
364,653126877,True,75,75,361,194,167
365,548379748,False,29,0,0,0,0
366,609110140,True,99,99,398,233,164
367,686442556,True,14,14,69,28,38
368,657087057,True,129,129,641,438,202
369,710505947,True,225,225,176,109,60
370,560782656,True,245,245,308,195,111
371,603519646,True,10,10,354,232,122
372,589755795,True,5,5,423,310,74
373,506441755,False,39,0,13,1,8
374,585991944,True,41,41,76,27,35
375,692345336,True,14,14,406,159,247
376,659749630,True,91,91,83,32,51
377,511242327,True,169,169,183,33,88
378,528792732,True,45,35,20,10,8
379,652991570,True,119,119,851,545,301
380,601368107,True,11,11,487,223,249
381,653552163,True,211,211,405,208,191
382,658854486,True,246,246,1044,623,419
383,639932847,True,103,103,568,404,163
384,604576637,True,38,38,104,40,61
385,675067662,True,83,83,282,79,169
386,589441079,True,22,22,574,225,339
387,580608427,True,13,13,121,35,69
388,665726618,True,4,4,647,367,280
389,596509886,True,17,17,439,233,203
390,554037270,True,46,46,924,477,440
391,507129766,False,52,0,14,1,7
392,550455111,False,148,0,9,2,5
393,686449092,True,16,16,675,398,277
394,649401936,True,55,55,417,304,110
395,591254266,True,7,7,780,499,231
396,659771301,True,169,169,108,27,78
397,601259499,True,13,13,86,43,43
398,584533518,True,11,11,169,75,81
399,585035184,True,102,102,223,118,96
400,528972913,True,50,35,54,10,34
401,637126541,True,23,23,546,312,230
402,502383036,False,146,0,3,0,2
403,658842672,True,40,40,251,114,134
404,670733777,True,16,16,447,216,231
405,546716391,False,160,0,43,7,26
406,676024958,True,9,9,430,173,257
407,510214538,False,284,0,0,0,0
408,658854887,True,198,198,456,224,232
409,662033243,True,151,151,270,124,144
410,652340572,True,35,35,97,61,29
411,560578599,False,63,0,0,0,0
412,554219904,True,45,45,90,41,35
413,673145838,True,242,242,253,113,135
414,704298735,True,95,95,324,196,122
415,605859367,True,41,41,141,68,70
416,663479824,True,10,10,433,196,236
417,647603932,True,29,29,84,38,40
418,652738799,True,50,50,69,39,26
419,612566550,True,145,145,417,203,206
420,562296530,True,109,109,81,24,36
421,672213828,True,52,52,435,147,274
422,510517609,True,66,66,99,51,40
423,573844211,True,263,263,422,194,207
424,547560448,False,22,0,0,0,0
425,527048992,True,211,211,110,56,37
426,649398482,True,89,89,175,86,85
427,648389302,True,190,190,246,121,122
428,580124131,True,11,11,283,171,90
429,568775666,True,150,150,127,82,38
430,598330857,True,14,14,119,47,71
431,667372460,True,65,65,195,60,134
432,509729072,False,267,0,1,0,1
433,597028938,True,12,12,184,49,123
434,703731696,True,122,122,697,426,270
435,648644110,True,178,178,489,258,231
436,638262084,True,17,17,821,495,323
437,553012563,True,128,128,307,154,138
438,572499364,False,7,0,79,19,51
439,550197614,False,38,0,0,0,0
440,581153070,True,26,26,261,95,121
441,509962140,False,261,0,4,1,1
442,510917254,True,61,61,149,107,41
443,648186871,True,183,183,378,183,194
444,637670417,True,18,18,563,371,190
445,662989044,True,121,121,110,78,30
446,512124564,True,91,67,54,10,33
447,657915168,True,22,22,560,286,274
448,644947716,True,44,44,132,63,66
449,556665481,True,3,3,487,299,171
450,560926639,True,105,39,55,37,14
451,502368172,False,295,0,10,5,5
452,509580400,False,17,0,0,0,0
453,593508594,True,186,186,87,60,27
454,571177441,True,88,88,338,168,140
455,658020989,True,40,40,231,122,97
456,511305590,False,88,0,4,4,0
457,664394265,True,103,103,443,252,187
458,661753184,True,189,104,65,45,11
459,601260046,True,20,19,91,11,61
460,653932505,True,261,261,352,227,123
461,652988777,True,222,222,71,27,34
462,591780793,True,4,4,960,520,435
463,570059563,True,77,77,169,70,64
464,657804824,True,147,147,131,37,93
465,510174759,True,202,155,10,1,7
466,652989705,True,271,271,78,45,32
467,666589601,True,89,59,36,17,16
468,556344441,True,34,34,85,33,47
469,574823092,True,127,84,19,6,12
470,691208363,True,8,8,435,261,172
471,697339797,True,24,24,203,93,109
472,596557969,True,16,16,211,87,102
473,662219852,True,83,83,190,71,115
474,592407200,True,21,21,608,359,220
475,643592303,True,54,54,731,485,246
476,539291372,False,63,0,31,6,13
477,592657427,True,69,47,111,14,56
478,561531215,True,31,31,139,77,49
479,527583578,False,142,0,0,0,0
480,705412356,True,99,99,1057,656,397
481,560027980,True,12,12,292,136,139
482,595899822,True,21,21,298,183,103
483,609894681,True,7,7,618,180,429
484,663876890,True,78,78,304,125,178
485,543677427,False,175,0,6,3,2
486,652345569,True,129,129,272,149,123
487,544507627,False,147,0,15,6,4
488,606828333,True,5,5,355,190,164
489,647595671,True,97,97,274,169,101
490,666563739,True,12,12,1065,594,471
491,511595995,False,88,0,4,3,0
492,657914280,True,84,44,46,10,26
493,670728674,True,18,18,203,111,90
494,664914611,True,35,35,279,111,164
495,644051974,True,18,15,50,15,26
496,555356387,True,41,41,1027,559,462
497,652737867,True,127,78,45,9,20
498,636889229,True,23,23,515,306,208
499,589423553,True,184,184,397,264,125
500,540168837,False,184,0,14,7,4
501,658536111,False,,,,,
502,557615965,True,8,8,156,60,78
503,652094917,True,62,43,70,13,42
504,690046237,True,14,14,328,155,172
505,642278925,True,14,14,71,28,43
506,583296652,True,5,5,121,63,54
507,561528269,True,301,301,85,31,54
508,596826262,True,19,19,148,47,92
509,580095647,False,209,0,11,3,3
510,660069314,True,53,53,494,231,263
511,553000583,True,143,143,168,62,97
512,531134090,True,53,53,200,82,106
513,602170460,True,14,14,659,354,279
514,510698988,True,100,100,80,37,36
515,645035917,True,60,60,207,71,125
516,690072103,True,17,17,308,128,178
517,583130100,True,9,9,247,46,149
518,612536911,True,45,45,98,24,59
519,645690246,True,100,100,406,179,202
520,681047011,True,12,12,255,80,174
521,550851591,False,87,0,0,0,0
522,595904738,True,42,42,94,51,42
523,604601380,True,110,110,287,147,136
524,590513448,True,32,32,321,145,155
525,673173248,True,15,15,664,362,302
526,645692522,True,44,44,204,108,93
527,599125537,True,57,57,408,194,213
528,613586002,True,34,34,121,44,59
529,675477919,True,10,10,752,349,399
530,506773892,True,76,76,483,257,203
531,512149367,False,169,0,6,2,4
532,679700458,True,92,92,132,48,78
533,550490398,False,37,0,0,0,0
534,613599811,True,56,56,213,109,99
535,671164927,False,,,,,
536,589637407,True,13,13,113,64,49
537,571137446,True,48,48,470,204,230
538,646291324,True,62,62,153,78,74
539,593695648,True,7,7,174,99,70
540,644908995,True,132,132,156,60,94
541,583495670,True,13,13,323,193,106
542,557304694,True,79,79,191,95,89
543,639940936,True,22,22,166,109,52
544,645040965,True,20,20,52,24,25
545,570888896,True,78,61,72,16,44
546,595263154,True,221,221,219,66,135
547,657649356,True,75,58,23,14,6
548,552410386,True,85,85,76,19,39
549,680601319,True,407,287,576,555,19
550,584196534,True,13,13,188,58,114
551,660513003,True,198,113,49,14,22
552,563176332,True,254,254,200,94,95
553,603576132,True,129,129,604,313,285
554,594090967,True,267,267,88,37,33
555,612546493,True,31,31,287,146,135
556,510859641,True,124,55,4,3,1
557,591823992,True,238,238,614,340,271
558,560876151,True,117,117,938,911,25
559,603905059,True,32,32,537,279,254
560,623339221,True,17,17,119,46,72
561,649938395,True,16,16,633,352,280
562,584944065,True,21,21,725,415,266
563,574685634,True,173,173,451,247,199
564,661744804,True,120,120,163,59,101
565,642884591,True,16,11,55,13,10
566,657391037,True,97,97,86,52,33
567,529487172,True,147,147,130,63,41
568,664899910,True,72,72,425,231,193
569,507464107,False,207,0,2,1,1
570,556338149,True,78,78,113,73,32
571,509904120,True,51,51,119,61,45
572,601338233,True,13,10,67,23,32
573,673475038,True,90,90,138,59,67
574,570080979,True,212,212,194,92,88
575,581676766,True,19,19,325,128,189
576,554021353,True,208,208,77,34,34
577,510933273,True,217,150,25,9,14
578,663866413,True,128,128,560,314,243
579,506954308,True,139,139,52,19,33
580,555749369,True,14,14,600,299,273
581,603552279,True,7,7,305,114,189
582,602263642,True,7,7,205,69,129
583,591414748,True,9,9,190,90,82
584,653056052,False,,,,,
585,671164733,True,32,32,176,75,97
586,657012597,True,199,199,99,32,66
587,646016204,True,67,67,162,81,74
588,653130708,True,93,93,269,128,76
589,578220711,False,206,0,11,1,2
590,595808594,True,10,10,143,48,94
591,643586314,True,316,316,142,40,100
592,644386884,True,292,292,132,48,84
593,696717748,True,27,27,217,115,101
594,595337950,True,6,5,83,13,56
595,559087706,False,54,0,32,23,7
596,598137246,True,11,11,283,113,130
597,595229536,False,,,,,
598,638871662,False,,,,,
599,589098031,True,89,89,50,29,17
600,680601013,True,64,64,129,63,61
601,683252051,True,43,38,38,13,19
602,593240301,True,16,16,126,42,81
603,682734792,True,268,268,178,80,95
604,638753616,True,108,108,78,48,27
605,593646972,True,242,242,74,54,18
606,676503588,True,24,24,440,189,248
607,651366510,True,127,73,65,7,40
608,657892406,True,154,154,862,521,341
609,559382012,True,42,42,109,46,61
610,603425659,True,14,14,474,260,208
611,541206592,False,154,0,0,0,0
612,588656922,True,30,30,111,55,53
613,682054669,True,281,281,167,90,76
614,647148822,True,30,30,134,85,42
615,506156402,True,89,89,257,126,119
616,531124922,False,150,0,4,1,2
617,506520696,True,115,115,85,29,54
618,637990755,True,4,4,92,28,58
619,645700487,False,,,,,
620,584635321,True,75,75,221,119,99
621,501729039,True,227,227,121,64,57
622,569967584,True,24,24,549,470,72
623,552324309,True,124,124,224,95,117
624,639931541,True,182,182,100,41,56
625,590047029,True,7,7,120,48,59
626,669859475,True,61,61,363,148,199
627,507552264,True,212,212,186,90,86
628,653174169,True,146,146,978,613,363
629,658816608,True,9,9,290,174,110
630,650079244,True,24,24,366,146,213
631,639443233,True,15,15,209,81,125
632,691199371,True,20,20,204,90,93
633,562660121,True,242,177,14,6,8
634,577663639,False,215,0,3,1,1
635,591397995,True,7,7,711,510,172
636,559869893,True,15,15,227,112,110
637,658020691,True,10,10,906,628,278
638,657650471,True,61,61,56,19,33
639,658533763,True,171,171,107,79,22
640,637668816,True,5,5,46,8,28
641,596525298,True,142,74,59,9,44
642,707444935,True,47,47,754,499,253
643,557227804,True,34,34,560,374,177
644,592348507,True,9,9,33,23,9
645,562122508,False,248,0,3,1,2
646,557225279,True,47,47,143,84,54
647,540993890,False,140,0,26,16,10
648,585900296,True,9,9,144,46,88
649,582838758,True,250,250,90,25,52
650,595829914,True,11,11,223,90,115
651,587339481,True,79,79,373,246,115
652,601982862,True,3,3,203,73,126
653,577665023,False,220,0,7,4,3
654,699155265,True,109,109,539,375,153
655,637998955,True,99,99,287,136,139
656,539643002,True,76,76,47,20,17
657,647605431,True,27,19,50,17,30
658,607040613,True,36,36,194,81,93
659,653122667,True,309,309,99,31,52
660,653174445,True,97,97,215,101,74
661,617069979,True,29,29,53,21,29
662,598564173,True,28,28,111,42,67
663,597169069,True,17,17,127,49,48
664,699155540,True,26,26,207,107,99
665,603592541,True,129,129,716,355,354
666,637159507,True,146,146,507,317,190
667,589253444,True,12,12,490,259,228
668,559082739,True,64,54,25,7,13
669,566096665,False,75,0,113,17,65
670,581393200,True,13,13,254,64,163
671,582867147,True,7,7,49,21,23
672,586452281,True,53,53,387,290,87
673,679353932,True,95,95,118,39,59
674,672223115,True,17,17,137,73,63
675,682051855,True,102,102,107,46,48
676,658831566,True,12,12,515,238,276
677,611638995,True,93,93,323,142,172
678,508563988,True,101,101,529,322,189
679,578917373,True,5,5,460,226,204
680,511976254,True,45,45,78,35,32
681,593624660,True,287,287,158,50,104
682,638756637,True,159,159,474,274,196
683,673475737,True,253,253,320,111,199
684,667721307,True,16,16,1190,671,518
685,509958730,True,256,150,41,7,26
686,601903169,True,12,12,218,94,123
687,530318805,False,,,,,
688,658854537,True,112,112,342,236,104
689,588655112,True,146,146,359,220,129
690,687498308,True,23,23,326,136,190
691,556999461,True,5,5,786,459,312
692,599320182,True,9,9,228,85,95
693,602397924,True,6,6,273,105,144
694,507691834,True,297,297,439,259,168
695,657892020,True,6,6,581,307,271
696,511573879,False,108,0,0,0,0
697,649399137,True,11,11,813,464,347
698,551834174,True,50,50,153,91,59
699,607268593,True,10,9,125,30,92
700,506694419,False,89,0,59,9,26
701,565462806,True,97,97,114,67,40
702,658021293,True,234,234,785,478,305
703,679702884,True,397,287,886,869,17
704,653555156,True,72,72,404,214,190
705,652092892,True,214,214,93,49,39
706,578553996,True,11,11,217,95,99
707,574990702,True,35,35,50,21,25
708,652339241,True,24,24,243,70,166
709,665722301,True,15,15,807,342,464
710,680150733,True,13,13,393,185,202
711,530773844,True,84,84,273,119,132
712,541290571,False,144,0,3,2,1
713,529763302,False,65,0,11,7,2
714,541010698,False,221,0,2,0,0
715,644949350,True,61,61,979,568,411
716,637667993,True,10,10,82,24,36
717,603224878,True,71,71,585,197,362
718,653923501,True,155,155,86,31,51
719,616785862,True,54,54,111,59,51
720,657807185,True,14,14,538,281,257
721,583708711,True,46,46,298,157,122
722,637154333,True,39,31,30,7,16
723,683257169,True,296,296,352,189,161
724,552195520,True,74,49,25,5,19
725,703308147,True,118,118,448,264,180
726,595806300,True,143,69,55,7,45
727,642032356,True,12,12,81,56,20
728,567709426,True,88,88,101,58,35
729,627823344,False,,,,,
730,557393040,True,38,38,58,38,19
731,653331120,True,249,203,70,12,44
732,644909311,True,45,45,289,115,161
733,570236381,True,59,59,305,139,121
734,644657636,True,148,148,261,122,138
735,698260532,True,34,34,266,139,120
736,555042467,True,66,66,544,297,236
737,604870277,True,16,16,315,146,162
738,576095926,True,15,15,1085,624,452
739,554254184,True,84,84,98,41,42
740,581108813,True,229,184,35,10,24
741,511856569,False,206,0,10,5,2
742,626028096,True,71,71,38,21,16
743,570889097,True,39,39,130,63,42
744,680600666,True,12,12,352,149,201
745,510514474,True,226,190,26,9,15
746,597304174,True,14,14,74,22,44
747,676503918,True,97,97,95,27,49
748,591430494,True,9,9,984,582,386
749,501574836,False,240,0,29,3,24
750,602857315,True,57,57,358,178,166
751,602053643,True,12,12,1004,471,533
752,511434920,True,171,74,69,12,30
753,657080632,True,198,198,135,87,47
754,586241882,True,40,40,116,34,68
755,649938038,True,172,172,91,57,30
756,569739027,True,42,42,90,53,30
757,638864066,True,96,79,72,48,19
758,639253043,True,229,193,43,27,15
759,686449285,True,12,12,455,251,204
760,672207947,True,257,257,253,104,140
761,601904502,True,14,14,538,243,287
762,511976329,False,195,0,24,12,8
763,603551724,True,14,14,333,169,162
764,559192380,True,66,66,129,52,60
765,653058060,True,116,116,347,173,174
766,601547955,True,7,7,81,18,62
767,612077499,False,,,,,
768,524691284,True,264,264,137,52,67
769,643216853,True,316,316,151,50,85
770,551412605,True,27,27,73,32,39
771,584501013,True,4,4,551,318,219
772,507990552,True,253,253,330,177,126
773,509644421,True,284,284,224,104,111
774,501929610,True,200,200,143,76,61
